Name,Entwicklung,URL,Datenschutz,Beispiele f체r Publikation,Versionsnummer,Letzter Stand (Datum,Publikationsworkflow,Zusammenarbeit in Echtzeit,Lizenz,FOSS/OSS,Link zum Code,Finanzierung,Hosting
FidusWriter,Lund Info AB,https://www.fiduswriter.org/,GDPR-konform,https://github.com/TIBHannover/open-science-guide-of-guides,4.0.15,19.06.2025,Erstellung; Redaktion,ja,AGPL-3.0-only,OSS,https://github.com/fiduswriter/fiduswriter,Freemium,lokales Hosting; Cloud-Hosting
fulcrum,University of Michigan Library / Michigan Publishing,https://www.fulcrum.org/,GDPR-konform,https://doi.org/10.3998/mpub.4773450,v4.21,19.06.2025,Publikation; Bereitstellung; Verbreitung,nein,Apache-2.0,OSS,https://github.com/mlibrary/heliotrope,kommerziell,Cloud-Hosting
Manifold,CUNY Graduate Center; University of Minnesota Press; Cast Iron Coding,https://manifoldapp.org/,GDPR-konform,https://www.melusinapress.lu/projects/fabrikation-von-erkenntnis,v8.1.1,19.06.2025,Erstellung; Redaktion; Publikation; Bereitstellung; Verbreitung,teilweise,GPL-3.0-only,OSS,https://github.com/ManifoldScholar/manifold,Freemium,lokales Hosting; Cloud-Hosting
Open Monograph Press,Public Knowledge Project (Simon Fraser University),https://pkp.sfu.ca/software/omp/,GDPR-konform,https://omp33.demo.publicknowledgeproject.org/index.php/aup-demo/catalog/book/23,3.5.0-0,19.06.2025,Redaktion; Publikation; Bereitstellung; Verbreitung,nein,GPL-3.0-only,FOSS,https://github.com/pkp/omp,nicht-kommerziell,lokales Hosting
Open Source Academic Publishing Suite,SciFlow GmbH; Friedrich-Alexander-Universit채t Erlangen-N체rnberg; Martin-Luther-Universit채t Halle-Wittenberg,https://os-aps.de/,GDPR-konform,https://journals.ub.uni-koeln.de/index.php/philsym/issue/view/262,2024.2,19.06.2025,Erstellung; Redaktion; Publikation,nein,MIT,FOSS,https://gitlab.com/os-aps,nicht-kommerziell,lokales Hosting
PubPub (legacy),Knowledge Futures Group,https://www.pubpub.org/,GDPR-konform,https://mitpressonpubpub.mitpress.mit.edu/data-feminism,v5.eol,19.06.2025,Erstellung; Redaktion; Publikation; Bereitstellung; Verbreitung,ja,GPL-2.0-only,OSS,https://github.com/pubpub/pubpub,Freemium,lokales Hosting; Cloud-Hosting
Quire,J. Paul Getty Trust,https://quire.getty.edu/about/quire/,keine Angaben,https://collections.mnaha.lu/open/mosaik-marmor-musen/,v1.0.0,19.06.2025,Publikation; Bereitstellung; Verbreitung,nein,BSD-3-Clause,FOSS,https://github.com/thegetty/quire,nicht-kommerziell,lokales Hosting
Janeway,Open Library of Humanities,https://janeway.systems/index,GDPR-konform,https://www.iastatedigitalpress.com/plugins/books/147/,v1.7.5,19.06.2025,Redaktion; Publikation; Bereitstellung; Verbreitung,nein,AGPL-3.0-only,OSS,https://github.com/openlibhums/janeway,Freemium,lokales Hosting; Cloud-Hosting
Pressbooks,Book Oven Inc.,https://pressbooks.org/; https://pressbooks.com/ (kommerziell),GDPR-konform,https://oercollective.caul.edu.au/legal-research-skills-an-australian-law-guide-2024-edition/,v6.27.1,19.06.2025,Erstellen; Publikation; Bereitstellung; Verbreitung,nein,GPL-3.0-only,OSS,https://github.com/pressbooks/pressbooks,Freemium,Cloud-Hosting
H2O (Open Casebooks),Library Innovation Lab. (Harvard Law School Library),https://opencasebook.org,keine Angaben,https://opencasebook.org/casebooks/131-droit-de-lunion-europeenne/,v20250522-01,19.06.2025,Erstellung; Redaktion; Publikation; Bereitstellung,teilweise,AGPL-3.0-only,FOSS,https://github.com/harvard-lil/h2o,nicht-kommerziell,Cloud-Hosting
Scalar,Alliance for Networking Visual Culture (ANVC) at the University of Southern California,https://scalar.me/anvc/scalar/,keine Angaben,https://scalar.usc.edu/works/performingarchive/index,v2.6.9,19.06.2025,Erstellung; Redaktion; Publikation; Bereitstellung; Verbreitung,nein,ECL-2.0,FOSS,https://github.com/anvc/scalar,nicht-kommerziell,Cloud-Hosting
Ketty,Coko Foundation,https://ketty.community/,keine Angaben,https://www.booksprints.net/book/,v2,19.06.2025,Erstellung; Redaktion; Publikation,ja,MIT,FOSS,https://gitlab.coko.foundation/ketty,nicht-kommerziell,lokales Hosting
Zettlr,Hendrik Erz,https://www.zettlr.com,GDPR-konform,n.v.,3.5.2000,19.06.2025,Erstellung; Redaktion; Publikation,nein,GPL-3.0-only,FOSS,https://github.com/Zettlr/Zettlr,nicht-kommerziell,lokales Hosting
Quarto,posit PBC,https://quarto.org/,GDPR-konform,https://wesmckinney.com/book/,1.7.32,19.06.2025,Erstellung; Redaktion; Publikation; Bereitstellung; Verbreitung,nein,MIT,FOSS,https://github.com/quarto-dev/quarto-cli,nicht-kommerziell,lokales Hosting
Ubiquity,Ubiquity Press Ltd (De Gruyter),https://ubiquity.pub/,GDPR-konform,https://ubiquitypress.com/site/books/e/10.5334/bcv/,n.v.,19.06.2025,Redaktion; Publikation; Bereitstellung; Verbreitung,nein,GPL-3.0-only,OSS,https://gitlab.com/ubiquitypress,kommerziell,Cloud-Hosting
SciPost,SciPost Foundation,https://scipost.org/,GDPR-konform,n.v.,n.v.,19.06.2025,Redaktion; Publikation; Bereitstellung; Verbreitung,nein,AGPL-3.0-only,FOSS,https://git.scipost.org/scipost/SciPost,nicht-kommerziell,Cloud-Hosting
Authorea,Atypon (Wiley),https://www.authorea.com/,GDPR-konform,https://www.authorea.com/users/2/articles/175300-aastex-v6-1-example-article-for-authorea,n.v.,19.06.2025,Erstellung; Redaktion; Publikation; Bereitstellung; Verbreitung,ja,n.v.,n.v.,n.v.,Freemium,Cloud-Hosting
dskrpt,dskrpt GmbH,https://www.dskrpt.de,GDPR-konform,https://dskrpt.de/script/ad572008-c3cc-4a2c-abc3-927b04433e00/,n.v.,19.06.2025,Erstellung; Redaktion; Publikation; Bereitstellung; Verbreitung,teilweise,n.v.,n.v.,n.v.,Freemium,Cloud-Hosting
SciFlow,SciFlow GmbH,https://www.sciflow.net/de/,GDPR-konform,n.v.,n.v.,19.06.2025,Erstellung; Redaktion; Publikation,ja,n.v.,n.v.,n.v.,Freemium,Cloud-Hosting
ARPHA,Pensoft,https://arphahub.com/,GDPR-konform,https://zookeys.pensoft.net/article/11411/,n.v.,19.06.2025,Redaktion; Publikation; Bereitstellung; Verbreitung,ja,n.v.,n.v.,n.v.,kommerziell,Cloud-Hosting
Booktype,Sourcefabric,https://www.sourcefabric.org/software/booktype,GDPR-konform,n.v.,2.3,19.06.2025,Erstellung; Redaktion; Publikation,ja,AGPL-3.0-only,OSS,https://github.com/booktype/booktype,Freemium,lokales Hosting; Cloud-Hosting
GitBook,GitBook Inc.,https://www.gitbook.com,GDPR-konform,n.v.,n.v.,19.06.2025,Erstellung; Redaktion; Publikation; Bereitstellung; Verbreitung,ja,n.v.,OSS,https://github.com/GitbookIO/gitbook,Freemium,Cloud-Hosting
